Month,Year,Date,Current Auction Settlement Price (USD),Total Current Auction Sold,Offsets (Total amount for that quarter),Crude Oil First Purchase Price (Dollars per Barrel),Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),Current-dollar GDP (millions of current dollars) ,,Average Total Electricity Price (qts),Coal Price (USD/metric ton),"Coal Producer Price Index by Commodity, Index 1982=100",AvgTemperature (F),Anomaly,MaxTemperature,Anomaly,MinTemperature,Anomaly,Precipitation,Anomaly,Business Sentiment Index (BCI),MPRIME (quarter)
11,2012,2012-11-01,10.09,23126110,,97.72,5.94,2159729.7,,13.89,89.1,212.73,62.6,3.4,75.8,3.5,49.4,3.3,4.66,0.48,99.33,3.25
2,2013,2013-02-01,13.62,12924822,,106.86,6.09,2167627.5,,12.89,97.79,211.07,43.5,-0.1,54.2,0.7,32.8,-0.9,7.92,-3.81,99.7,3.25
5,2013,2013-05-01,14,14522048,,101.73,6.74,2191853.4,,13.21,94.56,209.07,58.6,4.1,71.9,5.1,45.3,3.1,2.66,-3.07,99.62,3.25
8,2013,2013-08-01,12.22,13865422,,105.36,6.68,2228668.7,,15.76,84.7,208.3,74.9,2.7,89.6,2.4,60.3,3,1.04,0.27,100.06,3.25
11,2013,2013-11-01,11.48,16614526,3238096,94.26,6.54,2293409.9,,14.77,85.7,207.53,59.9,0.7,73.1,0.8,46.8,0.7,2.02,-2.16,100.51,3.25
2,2014,2014-02-01,11.48,19538695,2297568,102.16,7.65,2277808.7,,13.58,86.82,204.03,48,4.4,59.9,6.4,36.1,2.4,5,-6.73,100.26,3.25
5,2014,2014-05-01,11.5,16947080,3243277,102.01,7.71,2315807.3,,13.27,79.04,201.3,58.6,4.1,71.7,4.9,45.5,3.3,4.69,-1.04,100.42,3.25
8,2014,2014-08-01,11.5,22473043,2991098,94.62,7.38,2367246.4,,16.76,75.21,199.33,75.1,2.9,89.6,2.4,60.5,3.2,0.73,-0.04,100.66,3.25
11,2014,2014-11-01,12.1,23070987,1887062,70.11,6.89,2380283.6,,15.94,69.28,197.73,63.2,4,76.2,3.9,50.4,4.3,3.62,-0.56,100.78,3.25
2,2015,2015-02-01,12.21,73610528,8984230,47.02,6.77,2434212.2,,14.44,67.51,196.57,49.5,5.9,59.7,6.2,39.4,5.7,9.81,-1.92,100.2,3.25
5,2015,2015-05-01,12.29,76931627,2061811,56.91,5.51,2476522.9,,13.87,65.07,195.9,58.1,3.6,71.2,4.4,45,2.8,2.77,-2.96,99.81,3.25
8,2015,2015-08-01,12.52,73429360,3064179,41.66,6.12,2489391.9,,16.87,63.66,193.63,75.3,3.1,89.5,2.3,61,3.7,0.97,0.2,99.67,3.25
11,2015,2015-11-01,12.73,75113008,11436603,38.38,5.83,2494096.5,,16,58.29,192.53,61.6,2.4,74.2,1.9,49,2.9,3.1,-1.08,99.09,3.25
2,2016,2016-02-01,12.73,68026000,3943250,25.75,6.9,2533323,,14.51,54.36,186.13,46.2,2.6,56.3,2.8,36.1,2.4,12.29,0.56,99,3.46
5,2016,2016-05-01,12.73,7260000,1370062,41.31,5.84,2546150.8,,13.91,54.87,189.43,57.5,3,69.6,2.8,45.5,3.3,7.17,1.44,99.55,3.5
8,2016,2016-08-01,12.73,30021000,7109605,40.05,6.91,2586282.9,,16.69,63.99,191.2,75.5,3.3,90.5,3.3,60.5,3.2,0.39,-0.38,99.63,3.5
11,2016,2016-11-01,12.73,76960000,3988816,40.49,7.48,2612779.4,,15.21,94.68,190.47,60.9,1.7,73.3,1,48.5,2.4,6.08,1.9,99.75,3.5
2,2017,2017-02-01,13.57,11673000,4157123,49.73,7.96,2649399.8,,15.03,90.18,196.63,44.3,0.7,53,-0.5,35.6,1.9,22.35,10.62,100.57,3.71
5,2017,2017-05-01,13.8,75311960,7695856,45.65,7.05,2697330.3,,14.59,85.52,195.07,57.5,3,70,3.2,45,2.8,5.64,-0.09,100.62,3.96
8,2017,2017-08-01,14.75,63887833,5771824,46.94,6.43,2754033.6,,17.37,93.07,194.43,76.5,4.3,91,3.8,61.9,4.6,0.62,-0.15,100.95,4.21
11,2017,2017-11-01,15.06,79548286,17684203,59.2,6.38,2814208.6,,16.55,103.5,196.27,61.7,2.5,74.4,2.1,49,2.9,3.75,-0.43,101.32,4.25
2,2018,2018-02-01,14.61,98215920,6187558,63.89,7.56,2830221,,15.38,109.79,197.07,47.7,4.1,59.1,5.6,36.2,2.5,4.2,-7.53,101.39,4.47
5,2018,2018-05-01,14.65,90587738,19747942,73.12,6.17,2887010.8,,15.25,104.78,199.13,56.4,1.9,68.5,1.7,44.2,2,7.91,2.18,101.23,4.69
8,2018,2018-08-01,15.05,79421265,4689178,69.34,8.16,2923407.4,,18.19,123.45,199.43,75.8,3.6,90.5,3.3,61.1,3.8,0.33,-0.44,101.41,4.96
11,2018,2018-11-01,15.31,78825717,24245973,62.96,7.09,2948163.4,,16.64,114.85,200.93,61.5,2.3,74.7,2.4,48.4,2.3,3.57,-0.61,101.19,5.18
2,2019,2019-02-01,15.73,80847404,4984805,63.29,8.61,2970816.1,,15.86,104.3,200.57,43.8,0.2,52.7,-0.8,34.9,1.2,16.18,4.45,100.51,5.45
5,2019,2019-05-01,17.45,66321122,8788377,68.42,6.81,3028633.1,,15.45,92.67,198.97,55.2,0.7,66.6,-0.2,43.8,1.6,7.77,2.04,100,5.5
8,2019,2019-08-01,17.16,66289515,6768167,58.53,6.97,3062616.7,,18.41,75.07,201.03,74.5,2.3,88.9,1.7,60,2.7,0.3,-0.47,99.36,5.42
11,2019,2019-11-01,17,67435661,3794469,62.1,7.16,3108710.4,,17.47,68.63,200.2,60.2,1,73.8,1.5,46.6,0.5,2.38,-1.8,98.86,4.96
2,2020,2020-02-01,17.87,57090077,5717806,53.68,8.26,3074465.6,,16.45,71.21,192.07,46.3,2.7,56.5,3,36.2,2.5,7.14,-4.59,99.03,4.75
5,2020,2020-05-01,16.68,21161000,14991757,27.94,6.61,2812435.1,,16.34,62.99,189.5,56.4,1.9,68.4,1.6,44.4,2.2,6.38,0.65,98.37,3.43
8,2020,2020-08-01,16.68,52627000,4830339,41.65,6.68,3060840.2,,19.24,52.69,188.37,75.3,3.1,90.2,3,60.4,3.1,0.31,-0.46,99.91,3.25
11,2020,2020-11-01,16.93,56366432,15742171,40.93,7.86,3132952.5,,18.99,57.67,188.8,63.7,4.5,77.7,5.4,49.6,3.5,1.28,-2.9,101,3.25
2,2021,2021-02-01,17.8,54773607,11807010,60.28,9.59,3225265.8,,17.93,88.02,187,46.1,2.5,57,3.5,35.2,1.5,6.87,-4.86,101.56,3.25
5,2021,2021-05-01,18.8,71647138,2506670,66.26,8.12,3331416,,18.53,99.1,188.7,57,2.5,70.6,3.8,43.4,1.2,2.13,-3.6,101.88,3.25
8,2021,2021-08-01,23.3,71261536,3970350,68.08,8.66,3416146,,20.78,152.97,189.76,77.2,5,91.9,4.7,62.6,5.3,0.53,-0.24,101.56,3.25
11,2021,2021-11-01,28.26,68598217,6223039,77.01,11.46,3520134.9,,20.08,202.22,190.97,61.7,2.5,74.3,2,49.1,3,4.97,0.79,101.62,3.25
2,2022,2022-02-01,29.15,58527697,1673305,90.18,13.03,3497723.7,,19.9,228.57,214.08,45.7,2.1,57.1,3.6,34.2,0.5,6.95,-4.78,101.16,3.25
5,2022,2022-05-01,30.85,58331300,4838031,110.44,12.26,3558511.9,,21.15,368.88,261.53,57.1,2.6,70.5,3.7,43.6,1.4,3.07,-2.66,100.61,3.6
8,2022,2022-08-01,27,56956085,1166531,96.04,14.35,3634821.3,,24.28,436.17,304.71,76,3.8,90.6,3.4,61.3,4,0.97,0.2,99.92,4.91
11,2022,2022-11-01,26.8,58020854,3850785,,,,,23.25,420.98,307.97,61.4,2.2,74.5,2.2,48.3,2.2,3.04,-1.14,99.34,6.31