Quarter,Month,Year,Current Auction Settlement Price,Total Current Auction Sold,Offsets Supply (Total amount for that quarter),Off General Account,Off Compliance Account
1,2,2014,11.48,"19,538,695","2,297,568","10,072,343",0
2,5,2014,11.50,"16,947,080","3,243,277","10,776,385","28,182"
3,8,2014,11.50,"22,473,043","2,991,098","10,718,413","66,788"
4,11,2014,12.10,"23,070,987","1,887,062","14,375,051","106,752"
1,2,2015,12.21,"73,610,528","8,984,230","16,180,606","107,654"
2,5,2015,12.29,"76,931,627","2,061,811","19,468,169","764,742"
3,8,2015,12.52,"73,429,360","3,064,179","16,314,285","1,138,942"
4,11,2015,12.73,"75,113,008","11,436,603","20,024,168","1,138,942"
1,2,2016,12.73,"68,026,000","3,943,250","21,705,247","1,153,942"
2,5,2016,12.73,"7,260,000","1,370,062","27,634,644","1,299,751"
3,8,2016,12.73,"30,021,000","7,109,605","18,767,860","7,766,990"
4,11,2016,12.73,"76,960,000","3,988,816","20,741,380","543,670,197"
1,2,2017,13.57,"11,673,000","4,157,123","29,129,742","7,774,790"
2,5,2017,13.80,"75,311,960","7,695,856","30,835,370","8,638,173"
3,8,2017,14.75,"63,887,833","5,771,824","38,724,691","8,205,057"
4,11,2017,15.06,"79,548,286","17,684,203","53,786,220","8,360,797"
1,2,2018,14.61,"98,215,920","6,187,558","54,435,063","14,324,668"
2,5,2018,14.65,"90,587,738","19,747,942","53,890,191","19,095,889"
3,8,2018,15.05,"79,421,265","4,689,178","36,435,852","4,102,647"
4,11,2018,15.31,"78,825,717","24,245,973","45,231,577","4,482,647"
1,2,2019,15.73,"80,847,404","4,984,805","48,227,013","4,510,844"
2,5,2019,17.45,"66,321,122","8,788,377","53,318,276","5,052,195"
3,8,2019,17.16,"66,289,515","6,768,167","54,295,724","2,723,695"
4,11,2019,17.00,"67,435,661","3,794,469","57,387,464","3,352,986"
1,2,2020,17.87,"57,090,077","5,717,806","68,714,862","3,624,946"
2,5,2020,16.68,"21,161,000","14,991,757","73,042,863","3,850,908"
3,8,2020,16.68,"52,627,000","4,830,339","86,787,923","2,890,262"
4,11,2020,16.93,"56,366,432","15,742,171","89,334,980","7,339,631"
1,2,2021,17.80,"54,773,607","11,807,010","88,157,090","9,609,547"
2,5,2021,18.80,"71,647,138","2,506,670","88,114,318","13,196,797"
3,8,2021,23.30,"71,261,536","3,970,350","39,680,080","751,831"
4,11,2021,28.26,"68,598,217","6,223,039","43,680,604","979,648"
1,2,2022,29.15,"58,527,697","1,673,305","44,486,896","981,912"
2,5,2022,30.85,"58,331,300","4,838,031","45,440,566","1,621,604"
3,8,2022,27.00,"56,956,085","1,166,531","46,469,892","961,259"
4,11,2022,26.80,"58,020,854","3,850,785","48,442,766","959,111"